NAMEUNIT	OBJECTID	INSPIREID	NATCODE	CODNUT1	CODNUT2	CODNUT3	CODIGOINE	Shape__Are	Shape__Len	Tavg	mosquito.abundance	GDP.test	eip	rnott.expected	RBM	CODIMUNI	AREAOFI	AREAPOL	CODICOMAR	CODIPROV	VALIDDE	DATAALTA	CODIMUNI.1	AREAOFI.1	AREAPOL.1	CODICOMAR.1	CODIPROV.1	VALIDDE.1	DATAALTA.1	Casos2014	Casos2015	Casos2016	Casos2017	Promedio	CasosPromedio	id	ImportationRisk
Argelaguer	2101	ES.IGN.SIGLIM34091717010	34091717010	ES5	ES51	ES512	17010	0.00137733076269	0.216046936785112	21.9889998435974	0.014099749046799	25863.4208646067	3.12952117154466	0.369055510141269	20817.80906972	170101	12.62	12.62	19	17	20100722	201707262100	170101	12.62	12.62	19	17	20100722	201707262100	0	0	0	0	0	0	51	0.000120589132354561
Argençola	1775	ES.IGN.SIGLIM34090808008	34090808008	ES5	ES51	ES511	8008	0.005117763076336	0.500519164812152	22.2199993133545	0.00356474958408646	23900.4426124151	3.07221885598869	0.0936886357589252	27661.2232857197	80082	NA	47.3823	6	8	NA	201707262100	80082	NA	47.3823	6	8	NA	201707262100	0	0	0	0	0	0	52	0.000158325928058976
Argentona	1776	ES.IGN.SIGLIM34090808009	34090808009	ES5	ES51	ES511	8009	0.002726411476696	0.247138737062931	23.2080001831055	0.115872866180438	20657.7332793119	2.83873913020273	3.09658082557568	28355	80095	NA	25.3179	21	8	NA	201707262100	80095	NA	25.3179	21	8	NA	201707262100	0	0	0	0	0	0	53	0
Arnes	2562	ES.IGN.SIGLIM34094343018	34094343018	ES5	ES51	ES514	43018	0.004580694384282	0.382922236400571	21.8800001144409	0.0125144049276726	23971.8619635882	3.15692985624508	0.326919080300796	21515.5973865093	430189	NA	42756	37	43	NA	201707262100	430189	NA	42756	37	43	NA	201707262100	0	0	0	0	0	0	54	0
Arres	2340	ES.IGN.SIGLIM34092525031	34092525031	ES5	ES51	ES513	25031	0.001274158771479	0.238423848615413	15.039999961853	0.0194193076705944	24701.7679042286	5.45645877346496	0.430457265055463	26027.1759059259	250313	NA	11608	39	25	NA	201707262100	250313	NA	11608	39	25	NA	201707262100	0	0	0	0	0	0	55	0.000109624770620434
Arsèguel	2341	ES.IGN.SIGLIM34092525032	34092525032	ES5	ES51	ES513	25032	0.001151446189994	0.18030467226077	17.3600006103516	0.013970911800145	26095.6308895925	4.53216591052052	0.330821381648817	26407.6157947525	250328	NA	10.4938	4	25	NA	201707262100	250328	NA	10.4938	4	25	NA	201707262100	0	0	0	0	0	0	56	9.33483411369363e-05
Artés	1777	ES.IGN.SIGLIM34090808010	34090808010	ES5	ES51	ES511	8010	0.001936579987247	0.272682040340999	22.8413333892822	0.0249711141158424	21321.3045845058	2.92324215932529	0.663311029235897	23557	80109	NA	18.0733	7	8	NA	201707262100	80109	NA	18.0733	7	8	NA	201707262100	0	0	0	0	0	0	57	7.46153204113085e-05
Artesa de Lleida	2342	ES.IGN.SIGLIM34092525033	34092525033	ES5	ES51	ES513	25033	0.002592567780266	0.252198290776119	24.2533327738444	0.0945851505682969	30304.1835285724	2.61100023074833	2.56914328620483	19386	250334	NA	24.2265	33	25	NA	201707262100	250334	NA	24.2265	33	25	NA	201707262100	0	0	0	0	0	0	58	0.000102503487837701
Artesa de Segre	2343	ES.IGN.SIGLIM34092525034	34092525034	ES5	ES51	ES513	25034	0.01916280163957	1.10111387447117	22.8000001173753	0.00566770928723383	23715.6143762551	2.93292433137891	0.150448033071699	19297	250349	NA	176.0393	23	25	NA	201707262100	250349	NA	176.0393	23	25	NA	201707262100	0	0	0	0	0	0	59	1.98313382738765e-05
Ascó	2563	ES.IGN.SIGLIM34094343019	34094343019	ES5	ES51	ES514	43019	0.007973828278557	0.420124393912224	24.3560001373291	0.0641240920220886	20901.1766519251	2.58964289807313	1.74441222711662	30088	430192	73.5257	73.5257	30	43	20160727	201707262100	430192	73.5257	73.5257	30	43	20160727	201707262100	0	0	0	0	0	0	60	5.60563985188057e-05
